005173,Cedarville High School,296,95.5,4.4,7.7
005181,Cedarwood Alternative Elementary School,340,88.6,14.4,42.7
005199,Celina Middle School,342,94.6,5.9,12.2
005207,Celina High School,726,93.6,8.1,17.3
005256,Newton Falls Middle School,118,91.5,7.9,31.5
005264,Perry Elementary School,543,94.0,4.8,12.4
005280,Centerburg Elementary School,443,94.8,3.3,9.2
005298,Centerburg High School,295,92.9,4.9,20.1
005322,Centerville High School,2607,93.1,4.6,19.4
005330,Central Trail Elementary School,665,95.1,2.7,10.6
005348,London MIddle School,467,91.6,7.4,28.4
005363,Mason Middle School,1635,94.8,3.4,12.7
005371,Central Elementary School,197,94.5,8.7,9.4
005397,Napoleon Elementary School,917,95.0,4.8,7.5
005405,Central Academy Nongraded Elementary School,352,91.6,8.5,30.6
005439,Willard Elementary School,558,92.5,10.9,23.3
005447,Wellston Middle School,283,91.4,9.6,30.7
005462,Fairfield Central Elementary School,726,94.1,10.9,15.4
005496,Central Elementary School,329,94.9,7.5,9.2
005504,Davey Elementary School,442,94.1,9.6,16.1
005561,Central Primary School,404,90.7,12.0,31.4
005637,Alfred Benesch,239,75.9,24.8,75.9
005660,Lima North Middle School,320,87.8,19.8,45.5
005686,Glenwood Middle School,564,93.6,7.6,18.8
005710,Wadsworth Middle School,598,92.8,4.2,20.0
005728,Reading Elementary School,767,92.1,8.0,25.2
005736,Zane Trace Elementary School,473,93.5,8.7,15.2
005751,Chagrin Falls High School,515,94.1,1.9,13.3
005769,Chagrin Falls Middle School,224,95.3,1.8,6.2
005777,Chalker High School,124,90.5,5.4,32.0
005785,R B Chamberlin Middle School,565,93.7,2.8,17.8
005801,Champion Central Elementary School,453,93.1,4.9,18.7
005819,Champion High School,321,91.8,8.2,24.2
005827,Champion Middle School,342,73.6,19.5,78.4
005835,Champion Middle School,364,92.9,6.0,19.0
005850,Chaney High,506,79.0,16.1,71.9
005868,Chapelfield Elementary School,413,94.9,8.5,9.7
005876,Chardon High School,989,92.1,3.0,26.0
005884,Chardon Middle School,708,93.9,3.6,13.8
005892,Charles A Mooney School,317,89.6,10.2,40.9
005900,Charles Dickens School,257,84.3,13.3,56.9
005926,Charles L Warstler Elementary School,285,94.5,10.2,13.4
005942,Whitney M Young,263,85.3,18.5,50.2
005967,Charles W Springmyer Elementary School,412,94.5,4.2,11.8
006007,Chase STEM Academy,249,86.1,11.7,48.7
006015,Chase School,271,87.6,17.2,46.9
006049,Cherrington Elementary School,334,93.7,7.7,16.3
006056,Rosa Parks Elementary School,290,86.1,14.9,52.1
006072,Swanton Middle School,374,92.8,4.9,19.7
006080,Cherry Valley Elementary School,340,92.9,9.3,20.9
006098,Chesapeake High School,265,90.9,8.0,30.7
006189,Chestnut Elementary School,411,94.3,3.8,12.0
006213,Chestnut Ridge Elementary School,217,96.1,0.5,3.2
006239,Cheviot School,573,87.7,16.4,48.6
006296,Chillicothe High School,681,84.0,17.1,48.2
006312,Chippewa Jr./Sr. High School,484,93.4,5.5,17.3
006320,Circleville High School,465,89.9,13.6,36.3
006338,Circleville Middle School,449,90.4,10.1,35.7
006353,Clara E Westropp School,413,81.8,16.8,60.1
006379,Clarendon Intermediate School,267,92.5,13.9,22.6
006387,Watkins Elementary School,296,84.5,10.9,66.5
006429,Clark School,637,92.2,8.5,27.3
006494,Clay High School,1101,90.5,4.5,29.9
006502,Clay High School,141,91.9,15.5,28.2
006510,Claymont Middle School,353,93.2,5.7,18.8
006528,Claymont High School,375,92.2,8.7,26.0
006551,Clear Fork High School,395,92.8,4.7,25.4
006577,Clearcreek Elementary School,718,95.2,7.3,6.2
006585,Amanda-Clearcreek Primary School,420,93.3,7.0,15.1
006593,Springboro High School,1752,95.2,3.5,10.5
006601,North Canton Primary School,998,94.6,4.0,10.8
006619,Clearview High School,326,85.5,13.1,52.5
006627,John Clem Elementary School,378,93.1,7.3,19.3
006635,Clermont Northeastern High School,374,91.9,8.4,28.1
006643,Cleveland Elementary School,404,91.3,11.5,30.3
006650,Brookwood Elementary School,600,92.5,7.3,22.3
006692,Clinton Elementary School,495,93.6,5.4,17.3
006700,Northwest Primary School,368,96.3,3.5,4.6
006734,Clinton-Massie High School,410,94.2,3.5,14.5
006742,Clough Pike Elementary School,476,94.2,8.7,13.3
006759,Cloverleaf High School,602,91.8,4.4,24.0
006775,North College Hill Elementary School,459,86.8,16.4,53.8
006783,McPherson Middle School,423,92.7,5.7,21.0
006791,Clyde High School,536,91.9,4.8,24.7
006809,Wellston Intermediate School,264,93.7,8.2,15.3
006841,Thurgood Marshall High School,545,79.0,30.3,66.9
006858,Coldwater High School,341,95.4,2.3,7.4
006874,Colerain Elementary School,177,83.0,10.6,58.2
006882,Colerain Elementary School,642,92.8,6.1,22.2
006890,Colerain High School,1280,87.6,11.2,42.1
